gene	zcount_DGC1	zcount_DGC2	zcount_DGC3	zcount_DGH1	zcount_DGH2	zcount_DGH3	zcount_dugill1	zcount_dugill2	zcount_dugill3	zcount_WGC1	zcount_WGC2	zcount_WGC3	zcount_WGH1	zcount_WGH2	zcount_WGH3	zcount_wtgill1	zcount_wtgill2	zcount_wtgill4
LOC110439577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
