gene	zcount_A1	zcount_A2	zcount_A3	zcount_A4	zcount_A5	zcount_A6
pex5la_4	6.84424296253755	1.63009487042898	2.12568203158769	5.98562909063949	4.29175599785983	6.01822660681175
pex5lb	0	0	0	0	0	0
pex6	0	0	0	0	0	0
pex7	0	0	0	0	0	0
pfas	0	0	0	0	0	0
pfdn1	0	0	0	0	0	0
pfdn2	0	0	0	0	0	0
pfdn2_1	200.965722432373	244.738581177289	234.398978121555	254.707652194787	245.510911816016	201.970096748049
pfdn4	0	0	0	0	0	0
pfdn5	0	0	0	0	0	0
pfdn5_1	618.643338484828	571.853109024242	209.808152498188	561.422845040851	473.133976410505	516.888481355758
pfdn5_2	67.389403875512	6.26424178277345	158.975830156698	13.1376757364182	162.512022357058	52.5027835212912
pfdn5_3	4.58451474315194	6.27613967789743	248.896988990555	5.85005714969765	78.929695995012	96.1191207770647
pfdn6	0	0	0	0	0	0
pfkfb1	0	0	0	0	0	0
pfkfb2a	0	0	0	0	0	0
pfkfb2b	0	0	0	0	0	0
pfkfb3	0	0	0	0	0	0
pfkfb4a	0	0	0	0	0	0
pfkfb4b	0	0	0	0	0	0
pfkla	0	0	0	0	0	0
pfklb	0	0	0	0	0	0
pfkma	0	0	0	0	0	0
pfkmb	0	0	0	0	0	0
pfkmb_1	36.1780938273522	55.1218921877572	22.9368060581478	34.6930329406782	32.8025301537129	40.3886652561585
pfkmb_2	6.63717698957441	10.3136120490716	4.90499964176902	14.391011114472	12.7886321366719	6.68675000214157
pfkmb_3	15.5178110281514	12.9198322872076	27.6487192425149	16.2605732155408	15.9185062022205	12.240980467395
pfkpa	0	0	0	0	0	0
pfkpb	0	0	0	0	0	0
pfkpb_1	16.5435302126039	38.8594910108979	12.4268274997846	10.929805727066	23.5393502335581	38.4912124977843
pfn1	0	0	0	0	0	0
pfn2	0	0	0	0	0	0
pfn2l	0	0	0	0	0	0
pgam1a	0	0	0	0	0	0
pgam1b	0	0	0	0	0	0
pgam2	0	0	0	0	0	0
pgam5	0	0	0	0	0	0
pgap1	0	0	0	0	0	0
pgap1_1	22.8232675902128	27.6474405933211	10.2061553696027	28.092503363916	24.160903484739	27.3854207354118
pgap2	0	0	0	0	0	0
pgap3	0	0	0	0	0	0
pgap3_1	2.99360909372379	4.16126041399475	2.63339097521283	2.45115798376656	4.85946033225965	7.55667620940821
pgbd5	0	0	0	0	0	0
pgd	0	0	0	0	0	0
pgd_1	118.110911610213	75.1149593111946	103.446020787777	101.584930386405	78.6957332625186	152.260590934869
pgfa	0	0	0	0	0	0
pgfb	0	0	0	0	0	0
pgfb_1	1.00311564146265	0.580991215896791	3.43160103969956	1.76003147960904	0.542778578826107	0
pgghg	0	0	0	0	0	0
pggt1b	0	0	0	0	0	0
pgk1	0	0	0	0	0	0
pgls	0	0	0	0	0	0
pglyrp2	0	0	0	0	0	0
pglyrp5	0	0	0	0	0	0
pglyrp5_1	4.35596122223233	7.14825834281618	5.32196191020404	2.97220645508832	2.35697894031188	3.7485068767175
pglyrp6	0	0	0	0	0	0
pgm1	0	0	0	0	0	0
pgm2	0	0	0	0	0	0
