gene	zcount_h-brain-1_S11	zcount_h-brain-2_S12	zcount_h-brain-3_S13	zcount_h-testis-1_S16	zcount_h-testis-2_S17	zcount_n-testis-1_S33	zcount_n-testis-2_S34	zcount_n-testis-3_S35	zcount_wt-brain_S44
rtn4a_1	421.659510259404	453.902935386148	478.000368656342	296.49227061644	454.652327024231	369.130065696683	313.870771389196	252.049052249753	588.590670107355
rtn4b	0	0	0	0	0	0	0	0	0
rtn4ip1	0	0	0	0	0	0	0	0	0
rtn4r	0	0	0	0	0	0	0	0	0
rtn4rl1b	0	0	0	0	0	0	0	0	0
rtn4rl2a	0	0	0	0	0	0	0	0	0
rtn4rl2b	0	0	0	0	0	0	0	0	0
rttn	0	0	0	0	0	0	0	0	0
rubcn	0	0	0	0	0	0	0	0	0
rufy1	0	0	0	0	0	0	0	0	0
rufy2	0	0	0	0	0	0	0	0	0
rufy2_1	19.94272555074	89.9299329395404	170.018998581937	13.5179187037937	60.3759795659105	153.338264970243	105.197546676888	70.7359204163059	319.239027156655
rufy2_2	258.848437760625	229.59384394413	458.966498665704	156.910524700998	167.255140803947	61.2993532882216	217.895466882841	180.039759345312	348.407054212556
rufy3	0	0	0	0	0	0	0	0	0
rundc3aa	0	0	0	0	0	0	0	0	0
rundc3ab	0	0	0	0	0	0	0	0	0
rundc3ab_1	277.454822339214	381.230134232337	245.160446696164	74.3350900152412	54.0800989247156	64.0320130612355	114.789956850082	93.0266399479667	609.0509423105
rundc3b	0	0	0	0	0	0	0	0	0
runx1	0	0	0	0	0	0	0	0	0
runx1t1	0	0	0	0	0	0	0	0	0
runx2a	0	0	0	0	0	0	0	0	0
runx2b	0	0	0	0	0	0	0	0	0
runx3	0	0	0	0	0	0	0	0	0
rusc1	0	0	0	0	0	0	0	0	0
rusc2	0	0	0	0	0	0	0	0	0
ruvbl1	0	0	0	0	0	0	0	0	0
ruvbl2	0	0	0	0	0	0	0	0	0
ruvbl2_1	188.679888490296	153.245541507814	198.83452072785	3396.35076659666	2252.66402792516	2923.87940361736	2668.51386524103	2651.02970518446	285.528624716422
rwdd	0	0	0	0	0	0	0	0	0
rwdd1	0	0	0	0	0	0	0	0	0
rwdd2b	0	0	0	0	0	0	0	0	0
rwdd3	0	0	0	0	0	0	0	0	0
rx1	0	0	0	0	0	0	0	0	0
rx2	0	0	0	0	0	0	0	0	0
rx3	0	0	0	0	0	0	0	0	0
rxfp1	0	0	0	0	0	0	0	0	0
rxfp2a	0	0	0	0	0	0	0	0	0
rxfp2a_1	20.2691875576982	28.7096289774634	34.1096240297974	42.6089323410005	68.3035286070606	52.6826370218105	66.8604777629844	63.5523340922496	21.3848690838515
rxfp2a_2	8.81725117935388	8.85577082352736	6.42977686208526	10.3797179045554	20.3185039733898	81.004590139407	57.4965984293349	84.6493219486161	13.0738978358896
rxfp2b	0	0	0	0	0	0	0	0	0
rxfp2l	0	0	0	0	0	0	0	0	0
rxfp2l_1	4.79294183356953	9.00156536040296	20.4593688546803	0.688082708039069	0.224489261427437	1.03266956732433	1.21526456665228	0.773999304461362	12.7113478051354
rxfp3	0	0	0	0	0	0	0	0	0
rxfp3_1	55.8940939352176	36.721274173542	30.0530710392532	2.2741535659303	9.954497571805	5.97280823244249	4.68594049053106	2.61140695816413	55.2518132824098
rxfp3.2a	0	0	0	0	0	0	0	0	0
rxfp3.2b	0	0	0	0	0	0	0	0	0
